	ID	Fecha	Tweet
36	916859422139404293	2017	b'.@evoespueblo \xc2\xbfla cuarta es la vencida? Una probadita de poder es lo \xc3\xbanico necesario para iniciar una dictadura \xc2\xbfverdad, @NicolasMaduro?'
37	916797568302055425	2017	"b""Bravo Catalonia\xc2\xa1\xc2\xa1.Bravo Millenials\xc2\xa1\xc2\xa1 Don't leave us. We need you. We love you.Spain needs you.Don't breake our hear\xe2\x80\xa6 https://t.co/IIrqCMEnCc"""
38	916794439611404288	2017	b'Bravo,bravisimo por Espa\xc3\xb1a unida.Ole por los milenios d Espa\xc3\xb1a.Catalu\xc3\xb1a eres Espa\xc3\xb1a,Engalanas Espa\xc3\xb1a por ning\xc3\xban mot\xe2\x80\xa6 https://t.co/7TWGYaIisi'
39	916493817615933440	2017	b'.@realDonaldTrump, did you go to Puerto Rico to toss this paper? They don\xe2\x80\x99t need more of your face nor your words,\xe2\x80\xa6 https://t.co/HqDfNkeu1v'
40	916469028994080769	2017	b'There\xe2\x80\x99s no in between, when it comes to violence. Friend or foe are capable of it. We ought to learn, no more guns\xe2\x80\xa6 https://t.co/9P5xwbW9ym'
41	916367802835132416	2017	b'\xc3\x81ndale Lopitos, ah\xc3\xad est\xc3\xa1 tu Ponchito.Dir\xc3\xa1s que es pol\xc3\xadtico el asunto pero al final tal para cual. Prop\xc3\xb3sito destrui\xe2\x80\xa6 https://t.co/gI0FJDvg2J'
42	916300788380721154	2017	b'.@realDonaldTrump promises of jobs have become failed realities. This is what I meant by False prophet. https://t.co/hsC47gdEH3'
43	915727080482058241	2017	b'Que gran evento hemos vivido en @centrofox: #CITEKForum, la cuna de las ideas que mueven el mundo.\xe2\x80\xa6 https://t.co/WAwXl1ValX'
44	915724827176181765	2017	b'#CITEKForum marca pauta para que el gobierno construya con certeza un gran futuro para todos. Un honor haber recibi\xe2\x80\xa6 https://t.co/T3mhaY6FmY'
45	915595543279226884	2017	b'.@miguelmarquezm, @centrofox es tu casa y #CITEKForum es importante para la innovaci\xc3\xb3n en @guanajuato \xc2\xa1Que maravill\xe2\x80\xa6 https://t.co/fyg0HvEKAm'
46	915585828520448001	2017	b'.@JoseAMeadeK bienvenido a #CITEKForum 2017 en @centrofox. \n https://t.co/nZC82wgRKQ'
47	915438934070562816	2017	b'Grandioso d\xc3\xada de compartir ideas y conocer nuevas visiones del mundo en #CITEKForum en @centrofox. Aqu\xc3\xad un poco:\xe2\x80\xa6 https://t.co/9Peopu4z7r'
48	915375503611236358	2017	b'Que gran primer d\xc3\xada de #CITEKForum, el \xc3\xbaltimo panel a cargo de @peterahigh. Ma\xc3\xb1ana seguiremos con grandes ponencias\xe2\x80\xa6 https://t.co/peQZonwa1I'
49	915262829674090496	2017	b'.@Laura_Ch, Miguel \xc3\x81ngel Rodriguez, expresidentes de Costa Rica,  dialogamos sobre el rol de LATAM hacia el futuro\xe2\x80\xa6 https://t.co/t1fHL5INC3'
50	915240528056324096	2017	b'.@tomfriedman que gusto escuchar tu historia en #CITEKForum. El mundo de ma\xc3\xb1ana es de incertidumbre, es nuestro tra\xe2\x80\xa6 https://t.co/ifqCCCNtdJ'
51	915233403070550017	2017	b'Arrancamos #CITEKForum con la melod\xc3\xada de la orquesta de @centrofox. Nos esperan dos d\xc3\xadas de intensas sesiones de co\xe2\x80\xa6 https://t.co/KlIzQldEEv'
52	914860232123265024	2017	b'#GunControl is a topic that must be dealt with ASAP. American people must not be looking over their shoulder for their countrymen.'
53	914848236938067968	2017	b'This morning, we mourn for the victims in Las Vegas. Such a heartless and senseless act of violence. We must #PrayForTheWorld to find peace.'
54	914637647783628800	2017	"b"".@realDonaldTrump a trophy won't mend all the suffering. Lives were lost, you miserable bigot. At least, show some respect, you owe that."""
55	914570255539884034	2017	b'@POTUS: attaking everybody, everywhere, everymoment,shows your   inferiority complex. Be presidential!! respect all\xe2\x80\xa6 https://t.co/3d9izw0TRO'
56	914531619075166208	2017	b'.@realDonaldTrump another given Sunday: instigating and provoking war? You better learn diplomacy instead of using the 280 characters.'
57	914117780563165184	2017	b'.@realDonaldTrump: these are the results and perhaps there are more vicious deeds, but blasting on the Mayor in a t\xe2\x80\xa6 https://t.co/Jtn8BXLDUf'
58	913844802134913025	2017	"b""The answer isn't building a wall. Mexico and the U.S. need each other to thrive and put out some fires. \xf0\x9f\x93\x96\xe2\x80\xa6 https://t.co/1sk9TeQoik"""
59	913482677218508801	2017	b'Los veo en @CITEKForum para discutir y visualizar un gran futuro para todos. Nos vemos en @centrofox este pr\xc3\xb3ximo m\xe2\x80\xa6 https://t.co/Bo1rmxkBBQ'
60	913451217015250945	2017	"b"".@realDonaldTrump, my poll hasn't ended, but @QuinnipiacU's poll show that 51% of Americans are embarrassed by you. https://t.co/AyE4AV0GHZ"""
61	913173784051494917	2017	"b"".@realDonaldTrump, stop insisting that you're up to job, because, you're not. Let's hear the 65 million Americans, what's Trump's worst?"""
62	912873196176756739	2017	b'.@realDonaldTrump has been wrecking America 140 characters at a time. Imagine what he could do with 280 now.'
63	910964813345509376	2017	b'@silicaphysics They\xe2\x80\x99re at the YouTube description.'
64	910950755259027458	2017	"b""Mexico is aching but hope runs deeper https://t.co/LZzbYwXqsK I know we've got friends and today I'm asking for your help to rebuild M\xc3\xa9xico."""
65	910714860593442816	2017	b'As long as there\xe2\x80\x99s hope, kindness and willingness, we will overcome anything. You want to help? Visit\xe2\x80\xa6 https://t.co/HLAEW3rmda'
66	910236152229187584	2017	b'Son tiempos duros, pero juntos saldremos adelante porque somos mexicanos. #PrayForMexico\n\n\xf0\x9f\x86\x98 Cruz Roja 065 | Emergencias 911 |Bomberos 068'
67	909506609344282625	2017	b'Te invito a sumarte a la 4\xc2\xaa revoluci\xc3\xb3n industrial en @CITEKForum. Este 3 y 4 de Octubre en @centrofox. Inscr\xc3\xadbete e\xe2\x80\xa6 https://t.co/6iwHf6cYf4'
68	909405949647089664	2017	b'Se trata del hijo de Hitler. \nSorprendente similitud con Poncho Romo.\nMismos genes?\nMismas actitudes apoyando a Lop\xe2\x80\xa6 https://t.co/cviFiWWrcL'
69	908709943796047872	2017	b'Mexicanos, que este #15DeSeptiembre sea el inicio de un cantico mundial: #VivaMexico, tan fuerte que el mundo retiemble. \xc2\xa1Viva M\xc3\xa9xico!'
70	906992649474859009	2017	b'Vaaaamonos! Ooorale!\nLopitos para Presidente de M\xc3\xa9xico?????? \nNi Ponchito Romo lo saca del atolladero.\nAguas! MX,\xe2\x80\xa6 https://t.co/mKk2rqE6Je'
71	906945454675562496	2017	b'.@realDonaldTrump did you know this? But hey, you need to find a way to keep your campaign motto, right? America fi\xe2\x80\xa6 https://t.co/IOu7l66YCh'
72	906295573820657664	2017	b'Falso Profeta, Lopitos + Falso Empresario, Ponchito = Peligro para MX. Despierta MX no te dejes enga\xc3\xb1ar!! https://t.co/cvNmKeSj4V'
73	906189610153373696	2017	b'Mexicanos, no nos soltemos ahora. #FuerzaM\xc3\xa9xico en tiempos de necesidad. Actu\xc3\xa9mos como uno solo. Toda ayuda es buen\xe2\x80\xa6 https://t.co/ZgnOWntkdN'
74	905915211269451777	2017	"b"".@realDonaldTrump after your next vacation; don't bother coming back, because I'm taking over.\xe2\x80\xa6 https://t.co/iJgs4UdhNY"""
75	905575088745009153	2017	"b'In the #ReadABookDay, I invite you to pre-order my new book: ""Let\'s move on!"" from @realDonaldTrump\'s disruption. https://t.co/RQowBhkqVI'"
76	905573543081103363	2017	"b'@lopezobrador_ ""lopitos"" MX dejo de ser tercermundista y subdesarrollado! NO necesita,Mes\xc3\xadas o falsos profetas.No a\xe2\x80\xa6 https://t.co/YczhxF4bOz'"
77	905234310067871744	2017	"b"".@realDonaldTrump cancelled the future of 800,000 kids who are the cornerstone of America and didn't even had the b\xe2\x80\xa6 https://t.co/mTwykRotqd"""
78	905139558408441856	2017	b'@realDonaldTrump, you gotta be such a weak leader to step over children and young people to prove yourself. Wake up America!!! #SaveDACA'
79	905088381457231873	2017	"b'.@realDonaldTrump is it because TrumpCare failed, as your other ""succesful"" bills? Childish and futile actions to prove yourself worthy?'"
80	905087316913479681	2017	"b"".@realDonaldTrump ending DACA is on the top of the vilest acts you've pulled off. You're destroying the legacy of greater men before you."""
81	904803867661139971	2017	"b"".@realDonaldTrump are you hearing this? You can't shut over 700,000 voices with a signature. The world demonizes yo\xe2\x80\xa6 https://t.co/4B72msewQv"""
82	904762542618271744	2017	"b'.@lopezobrador_ \xc2\xbfY qui\xc3\xa9n levanta a morena? \xc2\xbfTu ""mafia"" es la buena? Claro que no, nada bueno traes para M\xc3\xa9xico. https://t.co/Gm8qQ7yxcM'"
83	904359819808788481	2017	b'.@realDonaldTrump, are you? I may have the answer: https://t.co/RQowBhkqVI https://t.co/Nk4K3vnmXc'
84	904027892501422081	2017	"b'""Let\'s Move on!"" is not just a book, it\'s a statement for America. Resist! Pre-order: https://t.co/RQowBhkqVI or https://t.co/YBLb9X56pC'"
85	903797742463569921	2017	"b"".@realDonaldTrump Minorities will soon be the majority, and remember: we're stronger together. Get it? You can't trump the dream."""
86	903797298706227201	2017	"b"".@realDonaldTrump, you're killing the real American dream! DACA is fundamental for a successful America, what's the point of ending it?"""
87	903390536589041669	2017	"b""Houston could be rebuild with the budget of @realDonaldTrump's wall and spare some change. The question is: will he? https://t.co/oR1X0IHDYk"""
88	903300775174180864	2017	b'.@NicolasMaduro has llevado a Venezuela hacia la verdadera miseria. Ten poquita verg\xc3\xbcenza y renuncia.  https://t.co/H5bxHzwnE5'
89	903236662498652160	2017	"b'.@realDonaldTrump in your face! These are the ""bad hombres"", you\'re so scared of, giving a taste of solidarity in a\xe2\x80\xa6 https://t.co/ymc8xrmjwg'"
90	902935184865202178	2017	"b'.@lopezobrador_, no me queda clara tu ""justicia y honestidad"", M\xc3\xa9xico no le hace falta un falso mes\xc3\xadas, vividor de interminable campa\xc3\xb1a.'"
91	902731336322048001	2017	"b'.@realDonaldTrump cheering how many people turned out to his little show in Corpus, that\'s the U.S. ""president"", do\xe2\x80\xa6 https://t.co/6ZVG8WEWtB'"
